hexID,LAT,LON,N,K,R
96825,39.3604851317171,-30.9999885408444,168136,5,2446
96873,80.9283037754136,-30.9999885408445,2,1,2
96874,81.7941628154701,-30.9999885408446,1,1,1
96876,83.5257510368118,-30.999988540844,13,1,13
97036,82.2270788141537,-30.749988540844,96,3,58
97182,67.9388896542629,-30.4999885408436,3,1,3
97183,68.804885407732,-30.4999885408439,1,1,1
97198,81.7941628154701,-30.4999885408433,13,1,6
97344,68.3718877976443,-30.2499885408443,6,1,6
97346,70.1038747048781,-30.2499885408444,2,1,1
97350,73.5678123620103,-30.2499885408442,1,1,1
97360,82.2270788141537,-30.2499885408441,62,3,22
97361,83.0928752989587,-30.2499885408444,1,1,1
97507,68.804885407732,-29.9999885408443,112,1,4
97511,72.268842597432,-29.9999885408444,7,1,6
97520,80.0624165258265,-29.9999885408442,1,1,1
97668,68.3718877976443,-29.7499885408444,4,3,4
97675,74.4337863894545,-29.7499885408442,1,1,1
97681,79.6294645276642,-29.7499885408441,1,1,1
97684,82.2270788141537,-29.7499885408443,58,2,12
97685,83.0928752989587,-29.7499885408443,4,1,4
97831,68.804885407732,-29.4999885408437,1,1,1
97836,73.1348235154719,-29.4999885408438,5,1,5
97837,74.0008000192416,-29.499988540844,63,1,1
97838,74.8667713637235,-29.499988540844,1,1,1
97846,81.79416281547,-29.4999885408442,1,1,1
97848,83.5257510368118,-29.4999885408443,1,1,1
97994,70.1038747048782,-29.2499885408438,3,1,3
97995,70.9698642385259,-29.2499885408437,7,1,7
97996,71.8358506769037,-29.2499885408432,102,1,60
98008,82.2270788141537,-29.2499885408437,1,1,1
98120,38.4944650117124,-28.9999885408444,51290,6,1564
98155,68.804885407732,-28.9999885408443,1,1,1
98156,69.6708788975453,-28.9999885408446,1,1,1
98157,70.5368698334902,-28.9999885408446,87,2,56
98158,71.4028578709177,-28.9999885408439,3,1,3
98159,72.268842597432,-28.9999885408439,17,1,3
98161,74.0008000192416,-28.9999885408442,44,2,19
98162,74.8667713637235,-28.9999885408443,1,1,1
